type,value,source,threat_type,tags,first_seen,last_seen,confidence
domain,110tonn.ru,threatfox,Unknown Loader,"threatfox,chain-staged,etherhiding",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,5g6unmz0.eng-usa-glycofree.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0x68dc,macos",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,707creatives.com,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,7ejjnjb6.eng-usa-glycomute.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0x68dc,macos",2026-08-23 16:06:16,2026-08-23 16:35:36,85
domain,8gmcvfr9.eng-neuro-wave.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0x0f14,macos",2026-08-23 16:06:16,2026-08-23 16:35:36,85
domain,8jwsinz7.eng-usa-genesisrevival.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0x68dc,macos",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,8m7qs0tb.eng--glycofree.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0xdcf2,macos",2026-08-23 16:06:16,2026-08-23 16:35:36,85
domain,8thamendment.org,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,aebads.com,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,agenciaarco.com.br,threatfox,IClickFix,"threatfox,ClickFix,fake-plugin,hw-fingerprinting",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,agenciadetraduccion.net,threatfox,IClickFix,"threatfox,ClickFix,fake-plugin,hw-fingerprinting",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,agmitaliana.it,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,akeena.net,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,al-aakhirltd.com,threatfox,IClickFix,"threatfox,ClickFix,etherhiding,nochain",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,alojamientochajari.com.ar,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,alvarorodriguezbarroso.es,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,amalurgroup.com,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,ambiancewax.com,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,amkatextiles.com,threatfox,IClickFix,"threatfox,ClickFix,fake-plugin,hw-fingerprinting",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,anilnutrients.com,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,aofm.it,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,aolmqkxl.eng--puraboost.com,threatfox,ClearFake,"threatfox,ClearFake,mac-0x0f14,macos",2026-08-23 16:06:16,2026-08-23 16:35:36,85
domain,archaicpixels.com,threatfox,Unknown Loader,"threatfox,chain-staged,etherhiding",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,arssat.com.br,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,artelekt.com,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,artrallou.com,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,asdepiedra.com,threatfox,Unknown Loader,"threatfox,chain-staged,etherhiding",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,atakaydogalgaz.com.tr,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,atlaslex.net,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,aussieauctions.com,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,authenticcarebd.xyz,threatfox,IClickFix,"threatfox,ClickFix,Mac",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,barmitzvah-online.com,threatfox,Unknown Loader,"threatfox,chain-staged,etherhiding",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,bassprosurvey.store,threatfox,IClickFix,"threatfox,ClickFix,fake-plugin,hw-fingerprinting",2026-08-23 04:06:16,2026-08-23 16:35:36,85
domain,bedataexcellent.ch,threatfox,ClearFake,"threatfox,compromised,EtherHide",2026-08-23 16:06:16,2026-08-23 16:35:36,85
